GEOID,geometry
470650104332,POINT (-85.248502 35.13803)
470650012003,POINT (-85.259361 35.042394)
470650031001,POINT (-85.31229 35.04239)
470650016001,POINT (-85.321976 35.040662)
470650031001,POINT (-85.306156 35.050078)
470650124003,POINT (-85.306817 35.036846)
470650031001,POINT (-85.312456 35.043668)
470650114462,POINT (-85.156764 35.028934)
470650030001,POINT (-85.216372 35.01138)
470650121004,POINT (-85.365216 35.020646)
470650019002,POINT (-85.324185 35.014732)
470650006001,POINT (-85.306336 35.062468)
470650121004,POINT (-85.373925 35.016922)
470650104314,POINT (-85.245544 35.153133)
470650121004,POINT (-85.376313 35.015614)
470650121004,POINT (-85.365726 35.025058)
470650020001,POINT (-85.311464 35.036519)
470650124003,POINT (-85.306101 35.035939)
470650008001,POINT (-85.313041 35.06317)
470650121004,POINT (-85.366113 35.0217)
470650104111,POINT (-85.191046 35.163479)
470650121004,POINT (-85.367229 35.019463)
470650104314,POINT (-85.243977 35.139962)
470650121004,POINT (-85.383687 35.016184)
470650121003,POINT (-85.362555 35.028848)
470650121004,POINT (-85.380899 35.018614)
470650114462,POINT (-85.153683 35.037121)
470650121004,POINT (-85.372403 35.021045)
470650105021,POINT (-85.275954 35.105319)
470650031001,POINT (-85.310819 35.047317)
470650019002,POINT (-85.319859 35.021046)
470650114462,POINT (-85.159046 35.03464)
470659802001,POINT (-85.141513 35.069224)
470650016001,POINT (-85.321661 35.049626)
470650114462,POINT (-85.154066 35.039389)
470650104321,POINT (-85.240916 35.126995)
470650104321,POINT (-85.239459 35.123828)
470650019002,POINT (-85.320297 35.020435)
470650121004,POINT (-85.379271 35.017806)
470650121004,POINT (-85.370521 35.019051)
470650113211,POINT (-85.158499 35.023686)
470650121004,POINT (-85.363852 35.025419)
470650121004,POINT (-85.363362 35.026543)
470650113214,POINT (-85.152595 35.034473)
470650031001,POINT (-85.309919 35.051713)
470650121004,POINT (-85.365921 35.021598)
470650008001,POINT (-85.310723 35.064207)
470650105016,POINT (-85.254464 35.11252)
470650012003,POINT (-85.259187 35.043013)
470650004001,POINT (-85.28993 35.048659)
470650121004,POINT (-85.375905 35.017653)
470650019002,POINT (-85.322886 35.015696)
470650114451,POINT (-85.189907 35.030275)
470650030002,POINT (-85.216403 35.009719)
470650114462,POINT (-85.154047 35.039343)
470650031001,POINT (-85.313374 35.05053)
470650025003,POINT (-85.286198 35.017502)
470650121004,POINT (-85.371335 35.018834)
470650019003,POINT (-85.327858 35.009758)
470650121002,POINT (-85.385641 35.019604)
470650114462,POINT (-85.15682 35.032134)
470650114462,POINT (-85.153842 35.041307)
470650121004,POINT (-85.378257 35.017088)
470650114462,POINT (-85.158363 35.038382)
470650104314,POINT (-85.246022 35.135273)
470650121003,POINT (-85.36346 35.031401)
470650004001,POINT (-85.27788 35.044527)
470650121004,POINT (-85.374086 35.016614)
470650020001,POINT (-85.304334 35.033088)
470650031001,POINT (-85.310297 35.04788)
470650034001,POINT (-85.20684 35.017604)
470650104334,POINT (-85.242861 35.127485)
470650121004,POINT (-85.374856 35.018261)
470650019002,POINT (-85.322632 35.018568)
470650019002,POINT (-85.321887 35.017053)
470650121003,POINT (-85.362488 35.028675)
470650020001,POINT (-85.306851 35.035739)
470650008001,POINT (-85.311775 35.065195)
470650020001,POINT (-85.313075 35.037925)
470650121004,POINT (-85.364527 35.02079)
470650020001,POINT (-85.306079 35.029294)
470650121003,POINT (-85.358173 35.040541)
470650121004,POINT (-85.363714 35.026131)
470650019002,POINT (-85.325977 35.013507)
470650121004,POINT (-85.364555 35.026595)
470650121004,POINT (-85.374532 35.015934)
470650031001,POINT (-85.31083 35.044249)
470650121004,POINT (-85.366049 35.02194)
470650008001,POINT (-85.314143 35.063129)
470650109021,POINT (-85.331773 35.095378)
470650104314,POINT (-85.245304 35.139454)
470650113211,POINT (-85.156831 35.02469)
470650113214,POINT (-85.149297 35.037811)
470650034003,POINT (-85.182021 35.029355)
470650121004,POINT (-85.374318 35.016434)
470650121003,POINT (-85.363127 35.03096)
470650124003,POINT (-85.297479 35.03689)
470650121001,POINT (-85.356759 35.044508)
470650121003,POINT (-85.365449 35.03344)
470650109011,POINT (-85.337086 35.086587)
470650012003,POINT (-85.263383 35.040755)
470650033001,POINT (-85.212534 35.041099)
470650019002,POINT (-85.322665 35.013756)
470650104353,POINT (-85.252145 35.144613)
470650114111,POINT (-85.237827 35.099978)
470650011002,POINT (-85.277885 35.036848)
470650121004,POINT (-85.369154 35.021168)
470650109011,POINT (-85.342304 35.035076)
470650008001,POINT (-85.309288 35.065605)
470650034003,POINT (-85.183844 35.029697)
470650124003,POINT (-85.306866 35.037625)
470650121003,POINT (-85.362905 35.030292)
470650121004,POINT (-85.376452 35.018109)
470650121004,POINT (-85.378665 35.017801)
470650104314,POINT (-85.24805 35.155035)
470650030001,POINT (-85.217578 35.011006)
470650121003,POINT (-85.358534 35.038063)
470650123001,POINT (-85.26471 35.07536)
470650104321,POINT (-85.241215 35.12686)
470650104314,POINT (-85.244668 35.140523)
470650113214,POINT (-85.151852 35.033504)
470650104314,POINT (-85.245544 35.153133)
470650104353,POINT (-85.252175 35.1464)
470650104334,POINT (-85.245303 35.128355)
470650008001,POINT (-85.30956 35.064117)
470650104353,POINT (-85.249655 35.151013)
470650114452,POINT (-85.164695 35.043846)
470650104321,POINT (-85.240395 35.134483)
470650104321,POINT (-85.242483 35.12983)
470650104111,POINT (-85.191046 35.163479)
470650034001,POINT (-85.204598 35.019348)
470650031001,POINT (-85.312129 35.05496)
470650104314,POINT (-85.242258 35.136342)
470650114113,POINT (-85.188731 35.089314)
470650104321,POINT (-85.239147 35.125634)
470650104321,POINT (-85.222037 35.144891)
470650104314,POINT (-85.243977 35.139962)
470650113214,POINT (-85.148685 35.038854)
470650109011,POINT (-85.330489 35.088867)
470650104334,POINT (-85.239622 35.122006)
470650104321,POINT (-85.238706 35.125568)
470650113214,POINT (-85.149757 35.03486)
470650104321,POINT (-85.199177 35.153709)
470650121004,POINT (-85.380899 35.018614)
470650104314,POINT (-85.244098 35.135572)
470650104321,POINT (-85.242409 35.130715)
470650104332,POINT (-85.247037 35.129142)
470650113214,POINT (-85.151658 35.030928)
470650114462,POINT (-85.159046 35.03464)
470650104334,POINT (-85.251664 35.11442)
470650113214,POINT (-85.147445 35.037891)
470650104314,POINT (-85.246433 35.140518)
470650104321,POINT (-85.23824 35.135819)
470650104332,POINT (-85.248697 35.13921)
470650104312,POINT (-85.223414 35.145834)
470650104314,POINT (-85.248152 35.154476)
470650104321,POINT (-85.242118 35.128136)
470650113214,POINT (-85.152153 35.03349)
470650113214,POINT (-85.156222 35.026915)
470650124002,POINT (-85.295328 35.045876)
470650012002,POINT (-85.267573 35.033407)
470650012003,POINT (-85.259187 35.043013)
470650104353,POINT (-85.251688 35.147376)
470650104314,POINT (-85.247713 35.156823)
470650104314,POINT (-85.240494 35.135875)
470650104321,POINT (-85.199822 35.152996)
470650104311,POINT (-85.194716 35.159333)
470659801001,POINT (-85.201856 35.032046)
470650104334,POINT (-85.248655 35.120449)
470650104314,POINT (-85.24767 35.139672)
470650104334,POINT (-85.24594 35.128911)
470650104353,POINT (-85.249924 35.145572)
470650104353,POINT (-85.249923 35.146555)
470650104314,POINT (-85.246022 35.135273)
470650104321,POINT (-85.220539 35.145041)
470650104321,POINT (-85.207417 35.147358)
470650104321,POINT (-85.238409 35.122876)
470650030002,POINT (-85.21496 35.008405)
470650019003,POINT (-85.327632 35.009409)
470650104332,POINT (-85.24854 35.137856)
470650123001,POINT (-85.271972 35.066008)
470650104312,POINT (-85.222953 35.146086)
470650121004,POINT (-85.374856 35.018261)
470650011002,POINT (-85.290679 35.041509)
470650104321,POINT (-85.207223 35.147432)
470650006001,POINT (-85.308342 35.065132)
470650104334,POINT (-85.243406 35.128223)
470650104321,POINT (-85.237033 35.134757)
470650104321,POINT (-85.207311 35.148916)
470650114462,POINT (-85.157314 35.037694)
470650104353,POINT (-85.251596 35.146766)
470650104353,POINT (-85.250276 35.164737)
470650114462,POINT (-85.160374 35.030674)
470650104334,POINT (-85.242521 35.120577)
470650114022,POINT (-85.186812 35.077471)
470650104314,POINT (-85.2431 35.137014)
470650104334,POINT (-85.240195 35.123384)
470650104131,POINT (-85.198553 35.154155)
470650104353,POINT (-85.2517 35.146647)
470650104314,POINT (-85.240847 35.135499)
470650104353,POINT (-85.251493 35.14788)
470650030002,POINT (-85.205698 35.009692)
470650105016,POINT (-85.271836 35.106475)
470650104321,POINT (-85.207236 35.147881)
470650104314,POINT (-85.246232 35.154256)
470650109021,POINT (-85.331773 35.095378)
470650104353,POINT (-85.25139 35.147443)
470650104314,POINT (-85.245304 35.139454)
470650104332,POINT (-85.248502 35.13803)
470650104321,POINT (-85.240555 35.129062)
470650113214,POINT (-85.149297 35.037811)
470650104353,POINT (-85.249858 35.164861)
470650121004,POINT (-85.374318 35.016434)
